catalog,schema,table,column_name,data_type,comment
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,trade_liftings_key,bigint,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,trade_number,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,counter_party,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,finished_grade,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,terminal,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,price_per_unit,"decimal(16,6)",null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,price_type,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,unit,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,trade_note,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,agreed_upon_volume_gallons,"decimal(16,4)",null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,gross_volume_lifted,"decimal(16,4)",null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,net_volume_lifted,"decimal(16,4)",null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,bol,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,bol_lift_datetime_date_key,int,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,bol_lift_datetime_time_key,int,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,carrier,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,loading_number,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,trade_type,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,creation_name,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,trader,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,revision_name,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,time_of_trade_date_key,int,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,time_of_trade_time_key,int,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,trade_duration,int,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,position,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,shipment,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,opis_low,"decimal(19,4)",null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,unweighted_replacement_cost_currday,"decimal(38,6)",null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,unweighted_replacement_cost_prevday,"decimal(38,6)",null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,start_date_key,int,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,end_date_key,int,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,load_dttm,timestamp,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,loadtime,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,data_src_key,int,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,created_date,timestamp,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,updated_date,timestamp,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,created_by,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,updated_by,string,null
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,Catalog,fc_entdata_gold,
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,Database,cdm_bi,
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,Table,fact_allegro_trade_liftings,
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,Created Time,Thu Jan 15 17:27:28 UTC 2026,
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,Last Access,UNKNOWN,
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,Created By,Spark ,
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,Type,FOREIGN,
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,Provider,databricks,
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,Owner,omry7478@retailer.com,
fc_entdata_gold,cdm_bi,fact_allegro_trade_liftings,Table Properties,[],
fc_entdata_gold,cdm_bi,fact_cashier_overshort,cashier_overshort_key,bigint,null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,store_number,int,null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,busdate,date,null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,cashier_name,string,null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,refund_summary,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,payout_summary,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,coupons,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,scrach_off_redemptions,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,start_amount,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,end_amount,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,cash_summary_total,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,bills_accepted_summary,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,cash_vault_drop_summary,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,tubes_vended_summary,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,tubes_loaded_summary,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,reserve_withdrawal_summary,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,cashier_os_summary,"decimal(25,5)",null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,data_src_key,int,null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,loadtime,timestamp,null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,created_date,timestamp,null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,updated_date,timestamp,null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,created_by,string,null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,updated_by,string,null
fc_entdata_gold,cdm_bi,fact_cashier_overshort,Catalog,fc_entdata_gold,
fc_entdata_gold,cdm_bi,fact_cashier_overshort,Database,cdm_bi,
fc_entdata_gold,cdm_bi,fact_cashier_overshort,Table,fact_cashier_overshort,
fc_entdata_gold,cdm_bi,fact_cashier_overshort,Created Time,Thu Jan 15 17:27:28 UTC 2026,
fc_entdata_gold,cdm_bi,fact_cashier_overshort,Last Access,UNKNOWN,
fc_entdata_gold,cdm_bi,fact_cashier_overshort,Created By,Spark ,
fc_entdata_gold,cdm_bi,fact_cashier_overshort,Type,FOREIGN,
fc_entdata_gold,cdm_bi,fact_cashier_overshort,Provider,databricks,
fc_entdata_gold,cdm_bi,fact_cashier_overshort,Owner,omry7478@retailer.com,
fc_entdata_gold,cdm_bi,fact_cashier_overshort,Table Properties,[],
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,cash_shrink_key,bigint,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,store_num,int,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,item_number,int,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,item_key,bigint,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,date_key,int,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,entry_date_key,int,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,reference_date_key,int,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,business_date_key,int,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,journal_date_key,int,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,account_number,string,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,amount,"decimal(38,6)",null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,glexplanation,string,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,data_src_key,int,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,loadtime,timestamp,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,created_date,timestamp,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,updated_date,timestamp,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,created_by,string,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,updated_by,string,null
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,Catalog,fc_entdata_gold,
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,Database,cdm_bi,
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,Table,fact_daily_cash_shrink,
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,Created Time,Thu Jan 15 17:27:28 UTC 2026,
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,Last Access,UNKNOWN,
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,Created By,Spark ,
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,Type,FOREIGN,
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,Provider,databricks,
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,Owner,omry7478@retailer.com,
fc_entdata_gold,cdm_bi,fact_daily_cash_shrink,Table Properties,[],
fc_entdata_gold,cdm_bi,fact_drive_thru,drive_thru_key,bigint,null
fc_entdata_gold,cdm_bi,fact_drive_thru,departure_time,timestamp,null
fc_entdata_gold,cdm_bi,fact_drive_thru,store_key,int,null
fc_entdata_gold,cdm_bi,fact_drive_thru,event_name,string,null
fc_entdata_gold,cdm_bi,fact_drive_thru,carsin_queue,int,null
fc_entdata_gold,cdm_bi,fact_drive_thru,menu_board,int,null
fc_entdata_gold,cdm_bi,fact_drive_thru,greet,int,null
fc_entdata_gold,cdm_bi,fact_drive_thru,service,int,null
fc_entdata_gold,cdm_bi,fact_drive_thru,lane_queue,int,null
fc_entdata_gold,cdm_bi,fact_drive_thru,lane_total,int,null
fc_entdata_gold,cdm_bi,fact_drive_thru,store_number,int,null
fc_entdata_gold,cdm_bi,fact_drive_thru,loadtime,timestamp,null
fc_entdata_gold,cdm_bi,fact_drive_thru,data_src_key,int,null
fc_entdata_gold,cdm_bi,fact_drive_thru,created_date,timestamp,null
fc_entdata_gold,cdm_bi,fact_drive_thru,updated_date,timestamp,null
fc_entdata_gold,cdm_bi,fact_drive_thru,created_by,string,null
fc_entdata_gold,cdm_bi,fact_drive_thru,updated_by,string,null
fc_entdata_gold,cdm_bi,fact_drive_thru,Catalog,fc_entdata_gold,
fc_entdata_gold,cdm_bi,fact_drive_thru,Database,cdm_bi,
fc_entdata_gold,cdm_bi,fact_drive_thru,Table,fact_drive_thru,
fc_entdata_gold,cdm_bi,fact_drive_thru,Created Time,Thu Jan 15 17:27:28 UTC 2026,
fc_entdata_gold,cdm_bi,fact_drive_thru,Last Access,UNKNOWN,
fc_entdata_gold,cdm_bi,fact_drive_thru,Created By,Spark ,
fc_entdata_gold,cdm_bi,fact_drive_thru,Type,FOREIGN,
fc_entdata_gold,cdm_bi,fact_drive_thru,Provider,databricks,
fc_entdata_gold,cdm_bi,fact_drive_thru,Owner,omry7478@retailer.com,
fc_entdata_gold,cdm_bi,fact_drive_thru,Table Properties,[],
fc_entdata_gold,cdm_bi,fact_gl_monthly_balances,gl_monthly_balance_key,bigint,null
fc_entdata_gold,cdm_bi,fact_gl_monthly_balances,month_datekey,int,null
fc_entdata_gold,cdm_bi,fact_gl_monthly_balances,ledger_account_sk,string,null
fc_entdata_gold,cdm_bi,fact_gl_monthly_balances,ledger_account_key,string,null
fc_entdata_gold,cdm_bi,fact_gl_monthly_balances,ending_balance,double,null
fc_entdata_gold,cdm_bi,fact_gl_monthly_balances,beginning_balance,double,null
fc_entdata_gold,cdm_bi,fact_gl_monthly_balances,activity,double,null
fc_entdata_gold,cdm_bi,fact_gl_monthly_balances,dtmload,timestamp,null
fc_entdata_gold,cdm_bi,fact_gl_monthly_balances,data_src_key,int,null
fc_entdata_gold,cdm_bi,fact_gl_monthly_balances,created_date,timestamp,null
